WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
19,Stuttgart,Porsche Tennis Grand Prix,4/22/2023,WTA500,Indoor,Clay,Semifinals,3,Swiatek I.,Jabeur O.,1,4,8975,5031,3,0,,,,,0,0,Retired,1.29,3.75,1.28,4.16,1.34,4.2,1.27,3.72
19,Stuttgart,Porsche Tennis Grand Prix,4/23/2023,WTA500,Indoor,Clay,The Final,3,Swiatek I.,Sabalenka A.,1,2,8975,6891,6,3,6,4,,,2,0,Completed,1.44,2.75,1.48,2.84,1.48,2.9,1.44,2.74
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Bogdan A.,Bondar A.,61,89,904,712,4,6,6,4,7,6,2,1,Completed,1.5,2.63,1.46,2.92,1.56,2.92,1.47,2.66
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Niemeier J.,Wang Xin.,67,60,858,923,6,4,6,2,,,2,0,Completed,1.53,2.5,1.53,2.66,1.54,2.67,1.52,2.5
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Cirstea S.,Davis L.,44,56,1109,967,6,3,3,6,6,1,2,1,Completed,1.29,3.75,1.28,4.05,1.31,4.05,1.26,3.76
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Cocciaretto E.,Strycova B.,50,N/A,1076,N/A,6,3,7,6,,,2,0,Completed,1.11,6.5,1.11,7.76,1.14,8.59,1.1,6.95
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Muchova K.,Kontaveit A.,52,87,1036,735,6,2,6,2,,,2,0,Completed,1.25,4,1.27,4.12,1.28,4.33,1.25,3.86
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Marino R.,Zhu L.,79,39,753,1215,7,6,6,4,,,2,0,Completed,1.8,2,1.78,2.14,1.91,2.14,1.78,2.04
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Zanevska M.,Kenin S.,75,138,775,495,6,0,6,3,,,2,0,Completed,2.5,1.53,2.47,1.6,2.7,1.6,2.48,1.53
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Fruhvirtova L.,Volynets K.,58,103,941,651,6,3,7,5,,,2,0,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.73,2.1
20,Madrid,Mutua Madrid Open,4/25/2023,WTA1000,Outdoor,Clay,1st Round,3,Putintseva Y.,Liu C.,51,55,1046,982,6,4,6,4,,,2,0,Completed,1.5,2.63,1.54,2.62,1.54,2.9,1.49,2.57
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Masarova R.,Bucsa C.,74,70,777,835,6,3,5,7,6,4,2,1,Completed,1.67,2.2,1.68,2.34,1.72,2.38,1.65,2.21
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Mcnally C.,Galfi D.,69,93,840,692,4,6,6,0,6,3,2,1,Completed,1.8,2,1.77,2.16,1.82,2.2,1.71,2.12
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Maria T.,Eala A.,66,267,859,254,6,1,6,1,,,2,0,Completed,1.08,8,1.1,8.76,1.1,8.76,1.08,7.71
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Andreeva M.,Fernandez L.A.,194,49,346,1079,6,3,6,4,,,2,0,Completed,2.38,1.57,2.32,1.67,2.59,1.67,2.36,1.58
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Sherif M.,Giorgi C.,59,40,940,1214,4,6,6,4,,,1,1,Retired,2.3,1.62,2.27,1.7,2.36,1.7,2.25,1.63
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Rus A.,Anisimova A.,107,46,591,1094,7,5,6,2,,,2,0,Completed,2.5,1.53,2.32,1.67,2.8,1.67,2.34,1.59
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Kalinskaya A.,Fruhvirtova B.,62,145,900,467,2,6,6,4,6,4,2,1,Completed,1.36,3.2,1.49,2.81,1.49,3.2,1.4,2.93
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Osorio M.,Burel C.,115,109,556,585,6,3,6,4,,,2,0,Completed,1.5,2.63,1.62,2.42,1.62,2.73,1.55,2.43
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Wang Xiy.,Gracheva V.,65,43,859,1164,6,7,6,3,6,4,2,1,Completed,3.4,1.33,3.13,1.41,3.4,1.41,3.2,1.34
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Sasnovich A.,Svitolina E.,47,1088,1089,10,6,4,7,5,,,2,0,Completed,2.1,1.73,2.24,1.72,2.25,1.8,2.14,1.7
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Parrizas Diaz N.,Blinkova A.,76,64,755,886,6,3,6,0,,,2,0,Completed,1.8,2,1.81,2.09,1.91,2.09,1.83,1.97
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Frech M.,Paolini J.,100,68,671,841,6,2,6,3,,,2,0,Completed,2.38,1.57,2.33,1.67,2.7,1.67,2.29,1.62
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Burillo I.,Kanepi K.,110,63,582,888,6,7,6,2,6,4,2,1,Completed,4,1.25,3.91,1.29,4.5,1.29,3.83,1.26
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Pavlyuchenkova A.,Jimenez V.,599,175,60,394,6,1,6,7,7,6,2,1,Completed,1.5,2.63,1.6,2.49,1.69,2.63,1.56,2.41
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Tsurenko L.,Bronzetti L.,77,97,754,677,6,1,6,3,,,2,0,Completed,1.36,3.2,1.52,2.71,1.52,3.2,1.43,2.82
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Grabher J.,Tomova V.,92,73,693,777,6,1,7,6,,,2,0,Completed,2.38,1.57,2.64,1.53,2.64,1.62,2.45,1.54
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Siegemund L.,Podoroska N.,128,104,521,649,3,6,6,3,6,3,2,1,Completed,1.53,2.5,1.53,2.67,1.55,2.75,1.49,2.58
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Parks A.,Schmiedlova A.,54,96,989,681,6,2,6,7,6,2,2,1,Completed,3,1.4,3.05,1.43,3.2,1.44,3.01,1.38
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Bouchard E.,Yastremska D.,285,149,227,446,6,7,6,2,6,2,2,1,Completed,2,1.8,2.07,1.83,2.1,1.83,2.01,1.79
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Vondrousova M.,Bassols M.,80,119,751,543,6,1,6,3,,,2,0,Completed,1.07,9,1.06,12.15,1.07,15.85,1.05,9.68
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Kovinic D.,Errani S.,57,83,942,748,6,4,6,0,,,2,0,Completed,1.5,2.63,1.51,2.72,1.52,2.75,1.5,2.57
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Cornet A.,Ruse E.G.,71,158,833,421,6,7,6,4,6,3,2,1,Completed,1.73,2.1,1.84,2.06,1.84,2.22,1.77,2.03
20,Madrid,Mutua Madrid Open,4/26/2023,WTA1000,Outdoor,Clay,1st Round,3,Cristian J.,Stephens S.,168,48,403,1087,5,7,6,4,6,4,2,1,Completed,2.3,1.62,2.56,1.56,2.56,1.77,2.39,1.57
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Sakkari M.,Rus A.,9,107,3191,591,6,4,6,4,,,2,0,Completed,1.3,3.5,1.41,3.14,1.41,3.53,1.35,3.17
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Niemeier J.,Kvitova P.,67,10,858,3162,7,6,6,1,,,2,0,Completed,3.2,1.36,3.14,1.41,3.2,1.48,3.08,1.37
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Andreeva M.,Haddad Maia B.,194,14,346,2276,7,6,6,3,,,2,0,Completed,2.3,1.62,2.3,1.68,2.36,1.73,2.18,1.67
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Masarova R.,Vekic D.,74,23,777,1733,6,1,7,6,,,2,0,Completed,2.38,1.57,2.51,1.58,2.65,1.62,2.47,1.53
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Gauff C.,Burillo I.,6,110,4400,582,6,4,6,1,,,2,0,Completed,1.04,13,1.05,14.71,1.06,14.71,1.04,11.52
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Osorio M.,Kostyuk M.,115,36,556,1245,3,6,6,4,6,3,2,1,Completed,2.38,1.57,2.61,1.55,2.61,1.59,2.49,1.52
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Ostapenko J.,Fruhvirtova L.,22,58,1740,941,6,0,6,3,,,2,0,Completed,1.25,4,1.21,4.91,1.26,4.91,1.22,4.29
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Samsonova L.,Zanevska M.,18,75,2062,775,6,2,6,3,,,2,0,Completed,1.44,2.75,1.45,2.96,1.51,2.96,1.44,2.75
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Badosa P.,Cocciaretto E.,42,50,1198,1076,6,3,4,6,6,4,2,1,Completed,1.2,4.5,1.21,5,1.23,5,1.19,4.58
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Linette M.,Vondrousova M.,19,80,1810,751,7,6,4,6,6,4,2,1,Completed,5,1.17,5.42,1.18,5.6,1.21,4.98,1.17
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Mertens E.,Marino R.,29,79,1354,753,6,3,6,1,,,2,0,Completed,1.4,3,1.29,3.94,1.4,3.98,1.32,3.38
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Sherif M.,Kalinina A.,59,34,940,1272,6,2,7,6,,,2,0,Completed,2.38,1.57,2.49,1.59,2.49,1.63,2.4,1.56
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Garcia C.,Putintseva Y.,5,51,5030,1046,6,3,6,4,,,2,0,Completed,1.5,2.63,1.52,2.69,1.52,2.75,1.49,2.6
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Begu I.,Muchova K.,35,52,1258,1036,6,4,7,5,,,2,0,Completed,2.75,1.44,3.11,1.41,3.11,1.48,2.74,1.44
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Rogers S.,Bogdan A.,38,61,1239,904,6,2,6,2,,,2,0,Completed,2,1.8,2.04,1.85,2.1,2.1,1.98,1.82
20,Madrid,Mutua Madrid Open,4/27/2023,WTA1000,Outdoor,Clay,2nd Round,3,Sabalenka A.,Cirstea S.,2,44,6891,1109,6,4,6,3,,,2,0,Completed,1.2,4.5,1.25,4.22,1.31,4.5,1.23,4.04
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Zheng Q.,Mcnally C.,24,69,1729,840,6,4,7,6,,,2,0,Completed,1.2,4.5,1.19,5.22,1.25,5.22,1.2,4.47
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Kudermetova V.,Parrizas Diaz N.,13,76,2280,755,6,3,4,6,6,2,2,1,Completed,1.4,3,1.47,2.88,1.5,3,1.42,2.83
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Kasatkina D.,Pavlyuchenkova A.,8,599,3505,60,6,4,6,3,,,2,0,Completed,1.36,3.2,1.37,3.33,1.42,3.4,1.35,3.18
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Krejcikova B.,Kovinic D.,12,57,2497,942,6,3,4,6,6,0,2,1,Completed,1.22,4.33,1.27,4.14,1.28,4.33,1.23,4.08
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Kalinskaya A.,Rybakina E.,62,7,900,4305,7,5,4,6,6,2,2,1,Completed,4.33,1.22,4.49,1.24,4.55,1.25,4.12,1.23
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Trevisan M.,Bouchard E.,20,285,1778,227,6,2,7,5,,,2,0,Completed,2,1.8,2.04,1.85,2.15,1.9,2,1.8
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Pera B.,Maria T.,32,66,1279,859,6,1,6,3,,,2,0,Completed,1.8,2,1.75,2.19,1.82,2.19,1.73,2.09
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Martic P.,Siegemund L.,33,128,1275,521,7,6,6,3,,,2,0,Completed,1.8,2,1.76,2.17,1.8,2.2,1.73,2.1
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Alexandrova E.,Cornet A.,17,71,2075,833,7,6,6,3,,,2,0,Completed,1.4,3,1.36,3.38,1.41,3.46,1.36,3.09
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Parks A.,Azarenka V.,54,16,989,2237,6,2,7,6,,,2,0,Completed,4.5,1.2,4.89,1.21,5.25,1.24,4.61,1.19
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Potapova A.,Cristian J.,25,168,1566,403,7,5,3,6,6,2,2,1,Completed,1.25,4,1.25,4.42,1.26,4.42,1.23,4.11
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Tsurenko L.,Teichmann J.,77,30,754,1300,3,6,6,2,6,4,2,1,Completed,1.73,2.1,1.77,2.16,1.8,2.16,1.74,2.08
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Pegula J.,Frech M.,3,100,5735,671,7,6,6,3,,,2,0,Completed,1.13,6,1.12,7.53,1.15,13,1.11,6.61
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Bouzkova M.,Sasnovich A.,31,47,1298,1089,6,4,6,7,6,3,2,1,Completed,1.67,2.2,1.84,2.06,1.86,2.2,1.77,2.05
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Swiatek I.,Grabher J.,1,92,8975,693,6,3,6,2,,,2,0,Completed,1.02,21,1.02,29.2,1.02,29.2,1.01,17.53
20,Madrid,Mutua Madrid Open,4/28/2023,WTA1000,Outdoor,Clay,2nd Round,3,Wang Xiy.,Andreescu B.,65,27,859,1432,3,6,7,6,6,2,2,1,Completed,2.75,1.44,2.73,1.51,2.85,1.51,2.66,1.47
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Begu I.,Rogers S.,35,38,1258,1239,7,5,6,2,,,2,0,Completed,1.67,2.2,1.76,2.19,1.8,2.22,1.72,2.12
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Mertens E.,Niemeier J.,29,67,1354,858,6,3,6,4,,,2,0,Completed,1.67,2.2,1.85,2.07,1.85,2.3,1.73,2.11
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Sabalenka A.,Osorio M.,2,115,6891,556,6,4,7,5,,,2,0,Completed,1.1,7,1.12,7.94,1.12,7.94,1.1,6.81
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Samsonova L.,Ostapenko J.,18,22,2062,1740,6,2,6,0,,,2,0,Completed,2.1,1.73,2.27,1.71,2.27,1.85,2.11,1.72
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Andreeva M.,Linette M.,194,19,346,1810,6,3,6,3,,,2,0,Completed,1.62,2.3,1.61,2.48,1.66,2.48,1.61,2.29
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Badosa P.,Gauff C.,42,6,1198,4400,6,3,6,0,,,2,0,Completed,1.73,2.1,1.78,2.17,1.81,2.2,1.73,2.1
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Sherif M.,Garcia C.,59,5,940,5030,7,6,6,3,,,2,0,Completed,3.75,1.29,3.86,1.31,3.88,1.31,3.58,1.29
20,Madrid,Mutua Madrid Open,4/29/2023,WTA1000,Outdoor,Clay,3rd Round,3,Sakkari M.,Masarova R.,9,74,3191,777,3,6,6,3,6,3,2,1,Completed,1.4,3,1.49,2.83,1.49,3.09,1.4,2.91
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Trevisan M.,Parks A.,20,54,1778,989,7,6,6,1,,,2,0,Completed,1.57,2.38,1.57,2.58,1.66,2.58,1.58,2.36
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Kasatkina D.,Tsurenko L.,8,77,3505,754,6,4,6,2,,,2,0,Completed,1.62,2.3,1.62,2.45,1.67,2.45,1.62,2.28
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Kudermetova V.,Potapova A.,13,25,2280,1566,7,6,5,7,6,3,2,1,Completed,2.2,1.67,2.41,1.64,2.41,1.71,2.25,1.63
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Pegula J.,Bouzkova M.,3,31,5735,1298,6,4,7,6,,,2,0,Completed,1.22,4.33,1.22,4.85,1.26,4.85,1.21,4.28
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Martic P.,Kalinskaya A.,33,62,1275,900,6,3,4,6,6,3,2,1,Completed,2,1.8,1.98,1.93,2.02,1.93,1.94,1.85
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Swiatek I.,Pera B.,1,32,8975,1279,6,3,6,2,,,2,0,Completed,1.03,15,1.05,15.02,1.05,15.02,1.03,11.86
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Krejcikova B.,Wang Xiy.,12,65,2497,859,6,4,6,1,,,2,0,Completed,1.22,4.33,1.19,5.48,1.22,5.54,1.18,4.79
20,Madrid,Mutua Madrid Open,4/30/2023,WTA1000,Outdoor,Clay,3rd Round,3,Alexandrova E.,Zheng Q.,17,24,2075,1729,5,7,6,4,6,2,2,1,Completed,2.1,1.73,2.39,1.65,2.39,1.74,2.21,1.65
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Begu I.,Samsonova L.,35,18,1258,2062,6,4,6,4,,,2,0,Completed,2.3,1.62,2.28,1.71,2.4,1.75,2.21,1.66
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Sherif M.,Mertens E.,59,29,940,1354,6,4,0,6,6,4,2,1,Completed,2.3,1.62,2.19,1.76,2.35,1.76,2.24,1.64
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Sabalenka A.,Andreeva M.,2,194,6891,346,6,3,6,1,,,2,0,Completed,1.25,4,1.27,4.23,1.31,4.23,1.25,3.87
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Kudermetova V.,Kasatkina D.,13,8,2280,3505,7,5,1,6,7,6,2,1,Completed,2.2,1.67,2.3,1.69,2.3,1.8,2.17,1.68
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Sakkari M.,Badosa P.,9,42,3191,1198,6,4,6,4,,,2,0,Completed,2.75,1.44,3.35,1.38,3.35,1.5,2.83,1.43
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Martic P.,Krejcikova B.,33,12,1275,2497,6,3,7,6,,,2,0,Completed,4.33,1.22,4.2,1.27,4.55,1.28,4.11,1.23
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Pegula J.,Trevisan M.,3,20,5735,1778,6,3,2,6,6,3,2,1,Completed,1.17,5,1.2,5.23,1.2,5.23,1.18,4.77
20,Madrid,Mutua Madrid Open,5/1/2023,WTA1000,Outdoor,Clay,4th Round,3,Swiatek I.,Alexandrova E.,1,17,8975,2075,6,4,6,7,6,3,2,1,Completed,1.06,10,1.06,13.37,1.08,13.54,1.06,9.42
20,Madrid,Mutua Madrid Open,5/2/2023,WTA1000,Outdoor,Clay,Quarterfinals,3,Sabalenka A.,Sherif M.,2,59,6891,940,2,6,6,2,6,1,2,1,Completed,1.08,8,1.09,9.94,1.14,9.94,1.08,7.86
20,Madrid,Mutua Madrid Open,5/2/2023,WTA1000,Outdoor,Clay,Quarterfinals,3,Sakkari M.,Begu I.,9,35,3191,1258,6,7,6,4,6,2,2,1,Completed,1.67,2.2,1.74,2.22,1.76,2.27,1.67,2.19
20,Madrid,Mutua Madrid Open,5/3/2023,WTA1000,Outdoor,Clay,Quarterfinals,3,Kudermetova V.,Pegula J.,13,3,2280,5735,6,4,0,6,6,4,2,1,Completed,2.75,1.44,3,1.45,3.16,1.45,2.9,1.41
20,Madrid,Mutua Madrid Open,5/3/2023,WTA1000,Outdoor,Clay,Quarterfinals,3,Swiatek I.,Martic P.,1,33,8975,1275,6,0,6,3,,,2,0,Completed,1.06,10,1.08,10.84,1.08,11.33,1.06,9.48
20,Madrid,Mutua Madrid Open,5/4/2023,WTA1000,Outdoor,Clay,Semifinals,3,Sabalenka A.,Sakkari M.,2,9,6891,3191,6,4,6,1,,,2,0,Completed,1.36,3.2,1.37,3.4,1.42,3.41,1.35,3.18
20,Madrid,Mutua Madrid Open,5/4/2023,WTA1000,Outdoor,Clay,Semifinals,3,Swiatek I.,Kudermetova V.,1,13,8975,2280,6,1,6,1,,,2,0,Completed,1.05,11,1.05,14.8,1.06,14.8,1.05,10.27
20,Madrid,Mutua Madrid Open,5/6/2023,WTA1000,Outdoor,Clay,The Final,3,Sabalenka A.,Swiatek I.,2,1,6891,8975,6,3,3,6,6,3,2,1,Completed,4,1.25,3.94,1.3,4.15,1.33,3.84,1.26
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Parrizas Diaz N.,Niemeier J.,80,74,755,794,4,6,6,4,6,2,2,1,Completed,2.2,1.67,2.27,1.7,2.3,1.74,2.21,1.66
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Blinkova A.,Sherif M.,73,43,801,1140,2,6,6,2,6,3,2,1,Completed,3.2,1.36,3.43,1.36,3.43,1.45,3.13,1.36
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Strycova B.,Zanevska M.,1103,77,10,767,6,1,3,6,6,3,2,1,Completed,4,1.25,4.23,1.26,4.25,1.29,3.96,1.24
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Wang Xiy.,Stefanini L.,75,105,790,612,7,6,7,6,,,2,0,Completed,1.44,2.75,1.44,2.99,1.48,2.99,1.44,2.78
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Noskova L.,Rogers S.,54,33,997,1294,4,6,6,1,6,4,2,1,Completed,2.3,1.62,2.38,1.64,2.38,1.65,2.3,1.61
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Pigato L.,Cherubini D.,483,421,92,118,7,5,2,6,6,3,2,1,Completed,1.33,3.4,1.33,3.59,1.38,3.59,1.32,3.34
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Vondrousova M.,Kanepi K.,70,71,816,815,6,0,4,6,6,2,2,1,Completed,1.11,6.5,1.12,7.39,1.14,7.39,1.11,6.59
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Kenin S.,Bucsa C.,134,66,504,830,6,3,6,7,7,5,2,1,Completed,1.67,2.2,1.76,2.16,1.85,2.25,1.71,2.13
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Paolini J.,Wang Xin.,65,60,841,903,6,4,6,7,6,2,2,1,Completed,1.62,2.3,1.65,2.37,1.7,2.42,1.64,2.25
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Kontaveit A.,Parks A.,82,49,745,1041,6,1,6,1,,,2,0,Completed,1.5,2.63,1.54,2.64,1.59,2.71,1.51,2.53
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Mcnally C.,Spiteri D.,62,508,884,85,6,0,6,1,,,2,0,Completed,1.1,7,1.11,7.87,1.13,7.87,1.1,6.76
21,Rome,Internazionali BNL d'Italia,5/9/2023,WTA1000,Outdoor,Clay,1st Round,3,Sasnovich A.,Fernandez L.A.,44,50,1122,1024,7,6,4,6,6,3,2,1,Completed,2.63,1.5,2.81,1.49,2.81,1.6,2.57,1.51
21,Rome,Internazionali BNL d'Italia,5/10/2023,WTA1000,Outdoor,Clay,1st Round,3,Bondar A.,Maria T.,93,63,692,865,6,4,6,1,,,2,0,Completed,2,1.8,2.02,1.88,2.13,1.93,1.97,1.84
21,Rome,Internazionali BNL d'Italia,5/10/2023,WTA1000,Outdoor,Clay,1st Round,3,Frech M.,Paoletti M.,94,294,684,216,4,6,6,2,7,5,2,1,Completed,1.08,8,1.11,7.77,1.12,8.7,1.1,7.25
21,Rome,Internazionali BNL d'Italia,5/10/2023,WTA1000,Outdoor,Clay,1st Round,3,Stephens S.,Podoroska N.,36,101,1246,644,6,4,6,1,,,2,0,Completed,1.4,3,1.45,2.94,1.45,3.05,1.4,2.88
